BusNumber,Region,LocalAuthority,x-axis,y-axis,Agrregated
1,South_East_England,Brighton_and_Hove,-0.1373639,50.8223711,None
2,South_West_England,Bristol,-2.5879675,51.4545085,None
3,London,London,-0.1278966,51.5073321,None
4,East_of_England,Norwich,1.2972594,52.6308914,None
5,East_Midlands,Leicester,-1.1395656,52.6365868,None
6,West_Midlands_(county),Birmingham,-1.8905143,52.4862263,None
7,North_West_England,Manchester,-2.2427672,53.4807532,None
8,Yorkshire_and_the_Humber,Leeds,-1.5492442,53.8007312,E12000001
9,Wales,Cardiff,-3.1791789,51.4815857,None
10,Scotland,Glasgow_City,-4.2519078,55.8642343,None
